sample_id,iteration,#elem,H_min,H_max,nvx,var(eta_k),error
52,4,10187,0.00584733,0.0407396,5204,3.72116e-07,0.139545,
52,5,10077,0.00573119,0.0415057,5148,3.85291e-07,0.140046,
52,6,10048,0.00570468,0.0435823,5133,3.91756e-07,0.139958,
50,0,20000,0.01,0.0141421,10201,0,125.889,
50,1,48019,0.000690533,0.0431931,24746,5.86741e-05,20.5542,
50,2,24032,0.000604232,0.0867605,12660,1.63263e-05,15.5688,
50,3,15652,0.000595452,0.0999126,8270,1.99271e-05,19.0716,
50,4,13497,0.000635333,0.100509,7097,2.10444e-05,20.604,
50,5,12834,0.000620494,0.112938,6724,1.9674e-05,21.1509,
50,6,12531,0.000624286,0.123614,6562,1.90609e-05,21.4945,
50,7,12368,0.000657111,0.12677,6478,1.95256e-05,21.6472,
50,8,12276,0.000644183,0.1228,6430,2.01377e-05,21.8008,
54,0,20000,0.01,0.0141421,10201,0,0.107292,
54,1,8484,0.00460197,0.0444947,4359,4.19297e-07,0.192773,
54,2,5365,0.00901759,0.0483398,2763,9.2453e-07,0.271086,
54,3,4432,0.00906316,0.0574785,2291,1.58952e-06,0.31597,
54,4,4301,0.00939333,0.0571382,2223,1.99823e-06,0.321188,
54,5,4284,0.00949657,0.0578155,2214,2.05982e-06,0.319822,
55,0,20000,0.01,0.0141421,10201,0,0.107292,
55,1,6538,0.00628725,0.0398191,3375,6.55151e-07,0.235214,
55,2,3623,0.0104454,0.058851,1879,2.36663e-06,0.384645,
55,3,2823,0.0110973,0.0684478,1471,3.55892e-06,0.494653,
55,4,2738,0.0113307,0.076232,1425,4.44807e-06,0.500675,
55,5,2703,0.0119173,0.0734634,1408,4.55826e-06,0.502423,
55,6,2698,0.0117605,0.0734935,1405,4.57965e-06,0.502311,
51,0,20000,0.01,0.0141421,10201,0,0.107292,
51,1,25732,0.00233603,0.030747,13050,1.04824e-07,0.0722297,
51,2,21785,0.00419425,0.0257313,11055,8.49152e-08,0.0762205,
51,3,20252,0.00372633,0.0298552,10281,8.2839e-08,0.078558,
51,4,20028,0.0042075,0.0296175,10165,9.4191e-08,0.0780268,
51,5,19904,0.00397326,0.0310623,10103,9.47288e-08,0.0777073,
36,0,20000,0.01,0.0141421,10201,0,2.569,
36,1,127481,0.000671489,0.0309644,64280,1.17522e-07,0.106021,
36,2,145513,0.000613186,0.0135869,73312,1.81124e-08,0.0699236,
36,3,112637,0.00060766,0.0175854,56780,1.62914e-08,0.0737142,
36,4,98777,0.000617845,0.018958,49814,1.6638e-08,0.0801734,
36,5,97105,0.000634036,0.0203602,48955,2.11129e-08,0.0797805,
36,6,96237,0.000650087,0.020304,48521,2.09495e-08,0.0798503,
60,0,20000,0.01,0.0141421,10201,0,0.979059,
60,1,20414,0.00183251,0.0400223,10389,1.34532e-06,0.491063,
60,2,11298,0.00379795,0.0406591,5787,1.10783e-06,0.688974,
60,3,9044,0.00382919,0.0519858,4634,2.16777e-06,0.831342,
60,4,8764,0.00394282,0.0553132,4490,2.62709e-06,0.848987,
60,5,8682,0.00424556,0.0546409,4448,2.77623e-06,0.847105,
59,0,20000,0.01,0.0141421,10201,0,0.979059,
59,1,37906,0.00120004,0.0362325,19193,6.59208e-07,0.329523,
59,2,29072,0.00254568,0.0278577,14739,2.57939e-07,0.303503,
59,3,19188,0.00249564,0.0374719,9769,4.24214e-07,0.412977,
59,4,17594,0.00281486,0.036306,8951,5.82133e-07,0.436838,
59,5,17273,0.00268604,0.0398816,8790,6.33395e-07,0.438226,
59,6,17161,0.00295137,0.0369873,8734,6.47963e-07,0.438508,
